Start date,Total bicicle usage(seconds),Number of bikes,Proportion members,Usage per bike(seconds)
02-06-2016,12581818.0,12366,0.8648714216399805,1017.0
02-06-2017,16854663.0,14110,0.7308291991495394,1195.0
02-06-2018,15100291.0,11168,0.6350286532951289,1352.0
02-06-2019,13958284.0,9829,0.758978532912809,1420.0
02-07-2011,9530936.0,5052,0.5637371338083927,1887.0
02-07-2012,6039858.0,6158,0.8533614810003248,981.0
02-07-2013,7228444.0,7821,0.8358266206367472,924.0
02-07-2014,8507842.0,9565,0.8232096184004182,889.0
02-07-2015,11628554.0,11257,0.7789819667762281,1033.0
02-07-2016,27643195.0,14072,0.4769755542922115,1964.0
02-07-2017,25187316.0,13583,0.42943385113745125,1854.0
02-07-2018,14009945.0,11842,0.772335754095592,1183.0
02-07-2019,10709507.0,10777,0.8861464229377378,994.0
02-08-2011,4997543.0,4804,0.8334721065778518,1040.0
02-08-2012,7057865.0,7163,0.8627669970682675,985.0
02-08-2013,10621150.0,9814,0.7597309965355614,1082.0
02-08-2014,15913213.0,10837,0.5186859832056843,1468.0
02-08-2015,17900403.0,11447,0.602515943041845,1564.0
02-08-2016,14921017.0,13374,0.7928069388365485,1116.0
02-08-2017,14765498.0,14079,0.7632644363946303,1049.0
02-08-2018,12762227.0,11858,0.8127002867262607,1076.0
02-08-2019,12956942.0,12267,0.8676938126681341,1056.0
02-09-2011,5231705.0,4682,0.8135412217001281,1117.0
02-09-2012,8610158.0,5749,0.5456601148025744,1498.0
02-09-2013,10837981.0,8025,0.6011214953271028,1351.0
02-09-2014,7383386.0,8623,0.8372956047779195,856.0
02-09-2015,9801702.0,11378,0.8642116364914748,861.0
02-09-2016,14733680.0,12715,0.7503735745182855,1159.0
02-09-2017,4627042.0,4175,0.6835928143712575,1108.0
02-09-2018,24520180.0,14231,0.5859742814981379,1723.0
02-09-2019,12380160.0,9082,0.7990530720105704,1363.0
02-10-2010,2148617.0,839,0.5268176400476758,2561.0
02-10-2011,2901121.0,2884,0.7864077669902912,1006.0
02-10-2012,3548319.0,4588,0.9311246730601569,773.0
02-10-2013,8812772.0,10249,0.8742316323543761,860.0
02-10-2014,10452243.0,11697,0.8713345302214243,894.0
02-10-2015,1333690.0,2079,0.94997594997595,642.0
02-10-2016,14846237.0,10444,0.6256223669092302,1422.0
02-10-2017,11876147.0,12700,0.8349606299212599,935.0
02-10-2018,13049985.0,13643,0.8726819614454299,957.0
02-10-2019,10143617.0,11937,0.9307196112926196,850.0
02-11-2010,1307123.0,1405,0.8704626334519573,930.0
02-11-2011,3686860.0,4136,0.9112669245647969,891.0
02-11-2012,4647060.0,5795,0.8935289042277825,802.0
02-11-2013,12146247.0,9374,0.6941540430979305,1296.0
02-11-2014,4989325.0,5643,0.8415736310473153,884.0
02-11-2015,8162398.0,9446,0.8887359728985814,864.0
02-11-2016,11259900.0,12123,0.8656273199703044,929.0
02-11-2017,11857277.0,12925,0.8543133462282398,917.0
02-11-2018,9474206.0,10105,0.8759030183077684,938.0
02-11-2019,11627266.0,10023,0.8316871196248629,1160.0
02-12-2010,1260746.0,1458,0.9389574759945131,865.0
02-12-2011,3125500.0,3901,0.9312996667521148,801.0
02-12-2012,4250618.0,4601,0.8063464464246903,924.0
02-12-2013,4223803.0,6314,0.9550205891669307,669.0
02-12-2014,1760330.0,2653,0.9785148888051263,664.0
